return_id,issued_id,return_book_name,return_date,return_book_isbn
RS101,IS106,NULL,2023-06-06,NULL
RS102,IS107,NULL,2023-06-07,NULL
RS103,IS108,NULL,2023-06-08,NULL
RS104,IS109,NULL,2023-06-09,NULL
RS105,IS110,NULL,2023-06-10,NULL
RS106,IS111,NULL,2023-06-11,NULL
RS107,IS112,NULL,2023-06-12,NULL
RS108,IS113,NULL,2023-06-13,NULL
RS109,IS114,NULL,2023-06-14,NULL
RS110,IS115,NULL,2023-06-15,NULL
RS111,IS116,NULL,2023-06-16,NULL
RS112,IS117,NULL,2023-06-17,NULL
RS113,IS118,NULL,2023-06-18,NULL
RS114,IS119,NULL,2023-06-19,NULL
RS115,IS120,NULL,2023-06-20,NULL
RS116,IS121,NULL,2023-06-21,NULL
RS117,IS122,NULL,2023-06-22,NULL
RS118,IS123,NULL,2023-06-23,NULL
